feature,coefficient,abs_coefficient,odds_ratio,strength,direction,interpretation,odds_ratio_interp
duration,1.5781907215437518,1.5781907215437518,4.846179785813009,Very Strong,increases,Increases subscription probability (very strong effect),4.85x more likely
poutcome_success,0.4497476916709516,0.4497476916709516,1.5679165371780026,Moderate,increases,Increases subscription probability (moderate effect),1.57x more likely
contact_unknown,-0.41362863484861845,0.41362863484861845,0.6612464695698921,Moderate,decreases,Decreases subscription probability (moderate effect),1.51x less likely
housing_yes,-0.392886516764969,0.392886516764969,0.6751053563789728,Moderate,decreases,Decreases subscription probability (moderate effect),1.48x less likely
age,0.36891742201343125,0.36891742201343125,1.4461681770875003,Moderate,increases,Increases subscription probability (moderate effect),1.45x more likely
age_group,-0.3605080390228621,0.3605080390228621,0.6973219692932172,Moderate,decreases,Decreases subscription probability (moderate effect),1.43x less likely
month_contact_may_unknown,-0.33051037492696594,0.33051037492696594,0.7185569064016039,Moderate,decreases,Decreases subscription probability (moderate effect),1.39x less likely
month_may,-0.29829970509688697,0.29829970509688697,0.7420789015874162,Moderate,decreases,Decreases subscription probability (moderate effect),1.35x less likely
balance_log,0.24396404596530627,0.24396404596530627,1.2762984415860656,Moderate,increases,Increases subscription probability (moderate effect),1.28x more likely
month_contact_jun_unknown,-0.23169063292051703,0.23169063292051703,0.7931914726825915,Moderate,decreases,Decreases subscription probability (moderate effect),1.26x less likely
month_contact_jun_cellular,0.21247957108457124,0.21247957108457124,1.2367408480330202,Moderate,increases,Increases subscription probability (moderate effect),1.24x more likely
loan_yes,-0.20710577323768964,0.20710577323768964,0.8129336588147491,Moderate,decreases,Decreases subscription probability (moderate effect),1.23x less likely
month_contact_jul_cellular,-0.19342315773565213,0.19342315773565213,0.8241331620203236,Moderate,decreases,Decreases subscription probability (moderate effect),1.21x less likely
month_jul,-0.1874615841413928,0.1874615841413928,0.829060966657525,Moderate,decreases,Decreases subscription probability (moderate effect),1.21x less likely
month_contact_nov_cellular,-0.1694185710590768,0.1694185710590768,0.8441554903693345,Moderate,decreases,Decreases subscription probability (moderate effect),1.18x less likely
education_ord,0.16930117701160666,0.16930117701160666,1.1844768223985291,Moderate,increases,Increases subscription probability (moderate effect),1.18x more likely
month_contact_aug_cellular,-0.16611109823452277,0.16611109823452277,0.8469521340754971,Moderate,decreases,Decreases subscription probability (moderate effect),1.18x less likely
month_contact_sep_unknown,-0.15429179389687767,0.15429179389687767,0.8570219107598595,Moderate,decreases,Decreases subscription probability (moderate effect),1.17x less likely
month_aug,-0.1519243890893901,0.1519243890893901,0.8590532320827177,Moderate,decreases,Decreases subscription probability (moderate effect),1.16x less likely
campaign_capped,-0.14808335713581142,0.14808335713581142,0.8623592281506494,Moderate,decreases,Decreases subscription probability (moderate effect),1.16x less likely
month_nov,-0.14599334462246719,0.14599334462246719,0.8641634544995439,Moderate,decreases,Decreases subscription probability (moderate effect),1.16x less likely
month_jan,-0.13728692700361983,0.13728692700361983,0.8717200702178394,Moderate,decreases,Decreases subscription probability (moderate effect),1.15x less likely
month_jun,-0.12602333500364396,0.12602333500364396,0.8815942745377814,Moderate,decreases,Decreases subscription probability (moderate effect),1.13x less likely
month_contact_apr_unknown,0.12077112210855806,0.12077112210855806,1.1283666246364756,Moderate,increases,Increases subscription probability (moderate effect),1.13x more likely
month_contact_jan_cellular,-0.11830237017403253,0.11830237017403253,0.8884273780561598,Moderate,decreases,Decreases subscription probability (moderate effect),1.13x less likely
marital_married,-0.11339804367249533,0.11339804367249533,0.8927952178926283,Moderate,decreases,Decreases subscription probability (moderate effect),1.12x less likely
campaign,-0.10153500829955237,0.10153500829955237,0.9034495505560926,Moderate,decreases,Decreases subscription probability (moderate effect),1.11x less likely
balance,-0.09696420786746589,0.09696420786746589,0.9075884900794577,Weak,decreases,Decreases subscription probability (weak effect),1.10x less likely
previous_contacts,0.09669597468157914,0.09669597468157914,1.1015254310881502,Weak,increases,Increases subscription probability (weak effect),1.10x more likely
month_contact_mar_cellular,0.0922596476424294,0.0922596476424294,1.0966495275820694,Weak,increases,Increases subscription probability (weak effect),1.10x more likely
month_contact_jan_telephone,-0.08864950426865947,0.08864950426865947,0.9151662792425264,Weak,decreases,Decreases subscription probability (weak effect),1.09x less likely
day,0.07601847134062638,0.07601847134062638,1.0789825042265813,Weak,increases,Increases subscription probability (weak effect),1.08x more likely
month_oct,0.0744722344398471,0.0744722344398471,1.077315430840587,Weak,increases,Increases subscription probability (weak effect),1.08x more likely
month_mar,0.0737108125522029,0.0737108125522029,1.0764954515063705,Weak,increases,Increases subscription probability (weak effect),1.08x more likely
month_contact_nov_unknown,0.0730976121116962,0.0730976121116962,1.0758355463690417,Weak,increases,Increases subscription probability (weak effect),1.08x more likely
month_contact_sep_cellular,0.07252665959698314,0.07252665959698314,1.075221470679136,Weak,increases,Increases subscription probability (weak effect),1.08x more likely
poutcome_other,0.06935442483823369,0.06935442483823369,1.0718160200566853,Weak,increases,Increases subscription probability (weak effect),1.07x more likely
month_contact_oct_unknown,0.06836322434811572,0.06836322434811572,1.0707541618364207,Weak,increases,Increases subscription probability (weak effect),1.07x more likely
month_contact_aug_unknown,0.05992957859804466,0.05992957859804466,1.0617617731599587,Weak,increases,Increases subscription probability (weak effect),1.06x more likely
month_contact_oct_telephone,0.059101072813472655,0.059101072813472655,1.0608824616966734,Weak,increases,Increases subscription probability (weak effect),1.06x more likely
job_marital_entrepreneur_divorced,-0.057699620817907186,0.057699620817907186,0.9439334428121144,Weak,decreases,Decreases subscription probability (weak effect),1.06x less likely
job_marital_student_single,0.055029201000991644,0.055029201000991644,1.0565714671694908,Weak,increases,Increases subscription probability (weak effect),1.06x more likely
month_contact_jan_unknown,0.053676239929951124,0.053676239929951124,1.0551429336986369,Weak,increases,Increases subscription probability (weak effect),1.06x more likely
job_blue-collar,-0.05352216082054251,0.05352216082054251,0.9478849348631109,Weak,decreases,Decreases subscription probability (weak effect),1.05x less likely
month_contact_jul_unknown,0.04855998402027724,0.04855998402027724,1.0497583386572764,Weak,increases,Increases subscription probability (weak effect),1.05x more likely
month_contact_feb_telephone,-0.04712877090263356,0.04712877090263356,0.9539645468049651,Weak,decreases,Decreases subscription probability (weak effect),1.05x less likely
job_marital_services_married,-0.04708617717209695,0.04708617717209695,0.9540051805791792,Weak,decreases,Decreases subscription probability (weak effect),1.05x less likely
month_contact_jul_telephone,-0.04708208570139764,0.04708208570139764,0.9540090838714076,Weak,decreases,Decreases subscription probability (weak effect),1.05x less likely
job_marital_services_divorced,-0.047016769647631386,0.047016769647631386,0.954071398015058,Weak,decreases,Decreases subscription probability (weak effect),1.05x less likely
job_housemaid,-0.043814125019952105,0.043814125019952105,0.9571318478029673,Weak,decreases,Decreases subscription probability (weak effect),1.04x less likely
job_student,0.043704579591502216,0.043704579591502216,1.044673691369286,Weak,increases,Increases subscription probability (weak effect),1.04x more likely
job_marital_blue-collar_married,-0.04288172266163265,0.04288172266163265,0.9580246959772682,Weak,decreases,Decreases subscription probability (weak effect),1.04x less likely
job_marital_unemployed_divorced,-0.04082175187692305,0.04082175187692305,0.960000232937627,Weak,decreases,Decreases subscription probability (weak effect),1.04x less likely
job_marital_housemaid_married,-0.040140193587539494,0.040140193587539494,0.9606547520753312,Weak,decreases,Decreases subscription probability (weak effect),1.04x less likely
month_contact_feb_unknown,0.04002246817242841,0.04002246817242841,1.0408341595710404,Weak,increases,Increases subscription probability (weak effect),1.04x more likely
job_marital_management_divorced,-0.0380338163276993,0.0380338163276993,0.9626803860253561,Weak,decreases,Decreases subscription probability (weak effect),1.04x less likely
job_management,-0.03801395334998688,0.03801395334998688,0.9626995079143161,Weak,decreases,Decreases subscription probability (weak effect),1.04x less likely
contact_telephone,-0.03744174584848047,0.03744174584848047,0.9632505294287286,Weak,decreases,Decreases subscription probability (weak effect),1.04x less likely
job_services,-0.03718333883355434,0.03718333883355434,0.9634994722855692,Weak,decreases,Decreases subscription probability (weak effect),1.04x less likely
job_marital_self-employed_married,-0.0358841014797084,0.0358841014797084,0.9647521003447511,Weak,decreases,Decreases subscription probability (weak effect),1.04x less likely
job_marital_self-employed_divorced,0.03426514895794231,0.03426514895794231,1.034858962129412,Weak,increases,Increases subscription probability (weak effect),1.03x more likely
job_entrepreneur,-0.03421764238094507,0.03421764238094507,0.9663611606046021,Weak,decreases,Decreases subscription probability (weak effect),1.03x less likely
month_contact_oct_cellular,0.033983858084871754,0.033983858084871754,1.0345679066859887,Weak,increases,Increases subscription probability (weak effect),1.03x more likely
job_marital_admin._single,0.033875521089924705,0.033875521089924705,1.0344558307790028,Weak,increases,Increases subscription probability (weak effect),1.03x more likely
job_marital_management_single,-0.03234151357455637,0.03234151357455637,0.9681758804071396,Weak,decreases,Decreases subscription probability (weak effect),1.03x less likely
job_marital_retired_divorced,0.03224667363769835,0.03224667363769835,1.0327722315699748,Weak,increases,Increases subscription probability (weak effect),1.03x more likely
month_sep,0.030097033372117353,0.030097033372117353,1.0305545272830265,Weak,increases,Increases subscription probability (weak effect),1.03x more likely
month_contact_jun_telephone,0.029803234463485994,0.029803234463485994,1.0302517959608692,Weak,increases,Increases subscription probability (weak effect),1.03x more likely
job_marital_retired_single,-0.029530782285983465,0.029530782285983465,0.9709009906292462,Weak,decreases,Decreases subscription probability (weak effect),1.03x less likely
month_contact_mar_telephone,-0.02877011124507818,0.02877011124507818,0.9716398078592152,Weak,decreases,Decreases subscription probability (weak effect),1.03x less likely
month_contact_may_cellular,-0.02822197882967352,0.02822197882967352,0.972172541124848,Weak,decreases,Decreases subscription probability (weak effect),1.03x less likely
job_technician,-0.02741992331125895,0.02741992331125895,0.9729525902558467,Weak,decreases,Decreases subscription probability (weak effect),1.03x less likely
month_dec,0.026696729395077334,0.026696729395077334,1.0270562795487719,Weak,increases,Increases subscription probability (weak effect),1.03x more likely
poutcome_unknown,-0.026081384510579595,0.026081384510579595,0.9742557970509778,Weak,decreases,Decreases subscription probability (weak effect),1.03x less likely
month_contact_sep_telephone,0.025929108267288933,0.025929108267288933,1.0262681919642005,Weak,increases,Increases subscription probability (weak effect),1.03x more likely
month_contact_dec_unknown,-0.025049416843768803,0.025049416843768803,0.9752617164816295,Weak,decreases,Decreases subscription probability (weak effect),1.03x less likely
job_marital_entrepreneur_married,-0.025010922872612088,0.025010922872612088,0.9752992589005878,Weak,decreases,Decreases subscription probability (weak effect),1.03x less likely
job_marital_services_single,0.02391088919477701,0.02391088919477701,1.0241990466223008,Weak,increases,Increases subscription probability (weak effect),1.02x more likely
month_contact_dec_telephone,0.02266769650271802,0.02266769650271802,1.0229265609886349,Weak,increases,Increases subscription probability (weak effect),1.02x more likely
job_marital_technician_married,-0.0223503890067293,0.0223503890067293,0.9778975304703729,Weak,decreases,Decreases subscription probability (weak effect),1.02x less likely
month_contact_mar_unknown,0.02208844374868114,0.02208844374868114,1.0223341995410677,Weak,increases,Increases subscription probability (weak effect),1.02x more likely
job_unemployed,-0.022010575805904053,0.022010575805904053,0.9782298894270633,Weak,decreases,Decreases subscription probability (weak effect),1.02x less likely
month_contact_apr_telephone,-0.02176548011047003,0.02176548011047003,0.9784696787465714,Weak,decreases,Decreases subscription probability (weak effect),1.02x less likely
job_marital_unemployed_married,-0.020928789967668296,0.020928789967668296,0.9792886972663908,Weak,decreases,Decreases subscription probability (weak effect),1.02x less likely
job_marital_student_married,-0.02067428593568532,0.02067428593568532,0.9795379619064029,Weak,decreases,Decreases subscription probability (weak effect),1.02x less likely
month_feb,-0.01939459749471259,0.01939459749471259,0.980792267702892,Weak,decreases,Decreases subscription probability (weak effect),1.02x less likely
job_self-employed,-0.019091438650566925,0.019091438650566925,0.9810896486276669,Weak,decreases,Decreases subscription probability (weak effect),1.02x less likely
month_contact_dec_cellular,0.018676986469183716,0.018676986469183716,1.0188524923183762,Weak,increases,Increases subscription probability (weak effect),1.02x more likely
job_marital_student_divorced,-0.017156352472135,0.017156352472135,0.982989979705739,Weak,decreases,Decreases subscription probability (weak effect),1.02x less likely
job_marital_blue-collar_divorced,-0.015954621427603954,0.015954621427603954,0.9841719793614053,Weak,decreases,Decreases subscription probability (weak effect),1.02x less likely
default_yes,-0.015401559035674044,0.015401559035674044,0.9847164384164168,Weak,decreases,Decreases subscription probability (weak effect),1.02x less likely
job_marital_technician_divorced,-0.01322959501541083,0.01322959501541083,0.9868575314376178,Weak,decreases,Decreases subscription probability (weak effect),1.01x less likely
job_retired,0.012238328026139873,0.012238328026139873,1.0123135228022562,Weak,increases,Increases subscription probability (weak effect),1.01x more likely
job_marital_unknown_divorced,0.01167403171885053,0.01167403171885053,1.0117424391648677,Weak,increases,Increases subscription probability (weak effect),1.01x more likely
month_contact_aug_telephone,0.011559682607240286,0.011559682607240286,1.011626753930149,Weak,increases,Increases subscription probability (weak effect),1.01x more likely
job_marital_entrepreneur_single,0.010864287070915008,0.010864287070915008,1.0109235177430305,Weak,increases,Increases subscription probability (weak effect),1.01x more likely
job_marital_unemployed_single,0.008327179361690073,0.008327179361690073,1.0083619467575264,Minimal,increases,Increases subscription probability (minimal effect),1.01x more likely
job_marital_blue-collar_single,-0.008210710928714868,0.008210710928714868,0.9918229048920837,Minimal,decreases,Decreases subscription probability (minimal effect),1.01x less likely
job_marital_housemaid_divorced,-0.007477704867832955,0.007477704867832955,0.9925501836099814,Minimal,decreases,Decreases subscription probability (minimal effect),1.01x less likely
job_marital_admin._married,0.006816469745369448,0.006816469745369448,1.006839754752379,Minimal,increases,Increases subscription probability (minimal effect),1.01x more likely
month_contact_feb_cellular,-0.005924287097299836,0.005924287097299836,0.9940932268884778,Minimal,decreases,Decreases subscription probability (minimal effect),1.01x less likely
job_marital_self-employed_single,-0.005714135695137835,0.005714135695137835,0.9943021589268997,Minimal,decreases,Decreases subscription probability (minimal effect),1.01x less likely
job_marital_unknown_single,-0.004953305405271152,0.004953305405271152,0.9950589419819205,Minimal,decreases,Decreases subscription probability (minimal effect),1.00x less likely
job_marital_retired_married,0.004139929849275102,0.004139929849275102,1.004148511196826,Minimal,increases,Increases subscription probability (minimal effect),1.00x more likely
month_contact_nov_telephone,0.0039028552430845544,0.0039028552430845544,1.003910481300514,Minimal,increases,Increases subscription probability (minimal effect),1.00x more likely
marital_single,0.00385256572691574,0.00385256572691574,1.0038599963975738,Minimal,increases,Increases subscription probability (minimal effect),1.00x more likely
job_marital_housemaid_single,-0.0032946506771036523,0.0032946506771036523,0.9967107707289244,Minimal,decreases,Decreases subscription probability (minimal effect),1.00x less likely
job_unknown,-0.0029381044535638228,0.0029381044535638228,0.9970662075512522,Minimal,decreases,Decreases subscription probability (minimal effect),1.00x less likely
job_marital_technician_single,-0.002818590355241857,0.002818590355241857,0.9971853781411559,Minimal,decreases,Decreases subscription probability (minimal effect),1.00x less likely
job_marital_unknown_married,-0.0020142535934515003,0.0020142535934515003,0.9979877736539593,Minimal,decreases,Decreases subscription probability (minimal effect),1.00x less likely
job_marital_management_married,-0.0005380847342600862,0.0005380847342600862,0.9994620600073683,Minimal,decreases,Decreases subscription probability (minimal effect),1.00x less likely
month_contact_may_telephone,-0.00044708600073793827,0.00044708600073793827,0.9995530139273154,Minimal,decreases,Decreases subscription probability (minimal effect),1.00x less likely
was_contacted_before,0.0,0.0,1.0,Minimal,decreases,Decreases subscription probability (minimal effect),1.00x less likely
